id,name,username,storeName,userId,subDescription,images,SKU,category,regularPrice,salePrice,createdAt,updatedAt
1033,Smok G-Priv 2 Kit,Chameleon IT service,Vape Amazon,GNH2l0n9j4OUwUiUk1dzVBD5QiA2,"<strong>Tank Model:</strong> TFV8 X-Baby Tank
<strong>Tank capacity:</strong> 4 ml
<strong>Battery:</strong> Dual 18650 Batteries (Not Included)
<strong>Wattage:</strong> 230W
<strong>Dimensions:</strong> 85x52x27.3 mm",{https://delhi-vape.com/img/no-image.jpg},AMA-0001,SMOK,60,60,2024-01-12 14:23:21.283+05:30,2024-01-12 14:23:21.283+05:30
1034,Smok V8 X Baby X4,Chameleon IT service,Vape Amazon,GNH2l0n9j4OUwUiUk1dzVBD5QiA2,"Smok V8 X Baby X4 coils have been designed for use with the Smok TFV8 X Baby Vape Tank.

<strong>Brand Name:</strong> Smok
<strong>OHM:</strong> 0.13 ohm Quadruple Coil
<strong>Watts:</strong> 30-70 watts
<strong>Best at:</strong> 45-60 watts
<strong>Suitable For:</strong> TFV8 X-BABY

Pack of 3 Coils",{https://delhi-vape.com/img/no-image.jpg},AMA-0002,SMOK,50,50,2024-01-12 14:23:21.283+05:30,2024-01-12 14:23:21.283+05:30
1035,Smok V8 X-Baby T6,Chameleon IT service,Vape Amazon,GNH2l0n9j4OUwUiUk1dzVBD5QiA2,"The Smok TFV8 X-Baby Coils are designed for use with the Smok V8 TFV8 X Baby <a href=https://vapingdubai.ae/product-category/accessories/tanks/>vape tank</a>. Due to the sub ohm resistance coil, these coils perform best with high VG eliquids of 70% and above.

<strong>Brand Name:</strong> Smok
<strong>OHM:</strong> 0.2 ohm
<strong>Watts:</strong> 40-110 watts
<strong>Best at:</strong> 70-90 watts
<strong>Suitable For:</strong> TFV8 X-BABY",{https://delhi-vape.com/img/no-image.jpg},AMA-0003,SMOK,70,70,2024-01-12 14:23:21.283+05:30,2024-01-12 14:23:21.283+05:30
1037,Smok V8 X-Baby M2,Chameleon IT service,Vape Amazon,GNH2l0n9j4OUwUiUk1dzVBD5QiA2,"<strong>Brand Name:</strong> Smok
<strong>OHM:</strong> 0.25 ohm
<strong>Wattage:</strong> 30-50 watts
<strong>Suitable For:</strong> TFV8 X-BABY / Compatible with V8 mod

Coils come three to a package.",{https://delhi-vape.com/img/no-image.jpg},AMA-0005,SMOK,70,70,2024-01-12 14:23:21.283+05:30,2024-01-12 14:23:21.283+05:30
1036,Smok V8 X-Baby Q2,Chameleon IT service,Vape Amazon,GNH2l0n9j4OUwUiUk1dzVBD5QiA2,"<strong>Brand Name:</strong> Smok
<strong>OHM:</strong> 0.4 ohm
<strong>Watts:</strong> 40-70 watts
<strong>Best at:</strong> 50-60 watts
<strong>Suitable For:</strong> TFV8 X-BABY

Pack of 3 Coils",{https://delhi-vape.com/img/no-image.jpg},AMA-0004,SMOK,50,50,2024-01-12 14:23:21.283+05:30,2024-01-12 14:23:21.283+05:30
1038,Smok V8 Baby X4,Chameleon IT service,Vape Amazon,GNH2l0n9j4OUwUiUk1dzVBD5QiA2,"<strong>Brand Name:</strong> Smok
<strong>OHM:</strong> 0.15 ohm
<strong>Watts:</strong> 30-70 watts
<strong>Best at:</strong> 45-60 watts
<strong>Suitable For:</strong> TFV8 Big Baby Tank / TFV8 Big Baby Light Edition

Pack of 5",{https://delhi-vape.com/img/no-image.jpg},AMA-0006,SMOK,80,80,2024-01-12 14:23:21.283+05:30,2024-01-12 14:23:21.283+05:30
1039,Smok V8 Baby T8,Chameleon IT service,Vape Amazon,GNH2l0n9j4OUwUiUk1dzVBD5QiA2,"<strong>Brand Name:</strong> Smok
<strong>OHM:</strong> 0.15 ohm
<strong>Watts:</strong> 50-110 watts
<strong>Best at:</strong> 60-80 watts
<strong>Suitable For:</strong> TFV8 Big Baby Tank / TFV8 Baby Tank / TFV8 Big Baby Light Edition

Pack of 5",{https://delhi-vape.com/img/no-image.jpg},AMA-0007,SMOK,75,75,2024-01-12 14:23:21.283+05:30,2024-01-12 14:23:21.283+05:30
1040,Smok V8 Baby - Q2,Chameleon IT service,Vape Amazon,GNH2l0n9j4OUwUiUk1dzVBD5QiA2,"<strong>Brand Name:</strong> Smok
<strong>Coil Option:</strong> 0.4 ohm and 0.6 ohm
<strong>Suitable For:</strong> TFV8 Big Baby Tank / TFV8 Baby Tank / TFV8 Big Baby Light Edition

Pack of 5 Coils",{https://delhi-vape.com/img/no-image.jpg},AMA-0008,SMOK,75,75,2024-01-12 14:23:21.283+05:30,2024-01-12 14:23:21.283+05:30
1041,Smok V8 Baby M2,Chameleon IT service,Vape Amazon,GNH2l0n9j4OUwUiUk1dzVBD5QiA2,"<strong>Brand Name:</strong> Smok
<b>Coil Options: </b>0.15 ohm and 0.25 ohm
<strong>Suitable For:</strong> TFV8 Baby Beast and TFV8 Big Baby Beast",{https://delhi-vape.com/img/no-image.jpg},AMA-0009,SMOK,70,70,2024-01-12 14:23:21.283+05:30,2024-01-12 14:23:21.283+05:30
1042,Smok V12 Prince - T10,Chameleon IT service,Vape Amazon,GNH2l0n9j4OUwUiUk1dzVBD5QiA2,"<strong>Brand Name:</strong> Smok
<strong>OHM:</strong> 0.12 ohm
<strong>Watts:</strong> 60-120 watts
<strong>Best at:</strong> 80-100 watts
<strong>Suitable For:</strong> Prince Tank",{https://delhi-vape.com/img/no-image.jpg},AMA-0010,SMOK,60,60,2024-01-12 14:23:21.283+05:30,2024-01-12 14:23:21.283+05:30
1043,Smok V12 Prince Q4,Chameleon IT service,Vape Amazon,GNH2l0n9j4OUwUiUk1dzVBD5QiA2,"<strong>Brand Name:</strong> Smok
<strong>OHM:</strong> 0.4 ohm
<strong>Watts:</strong> 40-100 watts
<strong>Best at:</strong> 60-80 watts
<strong>Suitable For:</strong> Prince Tank

Pack of 3 coils",{https://delhi-vape.com/img/no-image.jpg},AMA-0011,SMOK,70,70,2024-01-12 14:23:21.283+05:30,2024-01-12 14:23:21.283+05:30
1044,Smok V12 Prince M4,Chameleon IT service,Vape Amazon,GNH2l0n9j4OUwUiUk1dzVBD5QiA2,"<strong>Brand Name:</strong> Smok
<strong>OHM:</strong> 0.17 ohm
<strong>Watts:</strong> 30-70 watts
<strong>Best at:</strong> 40-60 watts
<strong>Suitable For:</strong> TFV12 Prince Tank

Pack of 3 coils",{https://delhi-vape.com/img/no-image.jpg},AMA-0012,SMOK,60,60,2024-01-12 14:23:21.283+05:30,2024-01-12 14:23:21.283+05:30
1045,Vaporesso GT2,Chameleon IT service,Vape Amazon,GNH2l0n9j4OUwUiUk1dzVBD5QiA2,"Vaporesso GT Core Replacement Coils presents a dynamic coil option for the NRG, Cascade, SKRR and SKRR-S Sub-Ohm Tank.

<strong>Model: <span style=color: #333333; font-size: 14.4px;>GT2 </span></strong>
<strong>Brand Name:</strong> Vaporesso
<strong>Suitable For:</strong> NRG Tank / Cascade / SKRR and SKRR-S
<span style=color: #333333; font-size: 14.4px;><strong>Ohm</strong>: 0.4ohm - rated for 40-80W (Best at: 55-65W)</span>

Pack of 3 Coils",{https://delhi-vape.com/img/no-image.jpg},AMA-0013,SMOK,60,60,2024-01-12 14:23:21.283+05:30,2024-01-12 14:23:21.283+05:30
1046,Vaporesso GT4,Chameleon IT service,Vape Amazon,GNH2l0n9j4OUwUiUk1dzVBD5QiA2,"Vaporesso GT Core Replacement Coils presents a dynamic coil option for the NRG, Cascade, SKRR and SKRR-S Sub-Ohm Tank.

<strong>Model: <span style=color: #333333; font-size: 14.4px;>GT4</span></strong>
<strong>Brand Name:</strong> Vaporesso
<strong>Suitable For:</strong> NRG Tank / Cascade / SKRR and SKRR-S
<span style=color: #333333; font-size: 14.4px;><strong>Ohm</strong>: 0.15ohm- 30-70W (Best at:45-60W)</span>

Pack of 3 Coils",{https://delhi-vape.com/img/no-image.jpg},AMA-0014,SMOK,60,60,2024-01-12 14:23:21.283+05:30,2024-01-12 14:23:21.283+05:30
1047,Vaporesso GT6,Chameleon IT service,Vape Amazon,GNH2l0n9j4OUwUiUk1dzVBD5QiA2,"Vaporesso GT Core Replacement Coils presents a dynamic coil option for the NRG, Cascade, SKRR and SKRR-S Sub-Ohm Tank.

<strong>Model: <span style=color: #333333; font-size: 14.4px;>GT6</span></strong>
<strong>Brand Name:</strong> Vaporesso
<strong>Suitable For:</strong> NRG Tank / Cascade / SKRR and SKRR-S
<span style=color: #333333; font-size: 14.4px;><strong>Ohm</strong>: 0.2ohm - rated 40-100W (Best at:70-90W)</span>

Pack of 3 Coils",{https://delhi-vape.com/img/no-image.jpg},AMA-0015,SMOK,60,60,2024-01-12 14:23:21.283+05:30,2024-01-12 14:23:21.283+05:30
1048,Vaporesso GT8,Chameleon IT service,Vape Amazon,GNH2l0n9j4OUwUiUk1dzVBD5QiA2,"Vaporesso GT Core Replacement Coils presents a dynamic coil option for the NRG, Cascade, SKRR and SKRR-S Sub-Ohm Tank.

<strong>Model: <span style=color: #333333; font-size: 14.4px;>GT8</span></strong>
<strong>Brand Name:</strong> Vaporesso
<strong>Suitable For:</strong> NRG Tank / Cascade / SKRR and SKRR-S
<span style=color: #333333; font-size: 14.4px;><strong>Ohm</strong>: 0.15ohm - rated for 50-110W (Best at: 60~80W)</span>

Pack of 3 Coils",{https://delhi-vape.com/img/no-image.jpg},AMA-0016,SMOK,30,30,2024-01-12 14:23:21.283+05:30,2024-01-12 14:23:21.283+05:30
1049,Aspire A3 Coil,Chameleon IT service,Vape Amazon,GNH2l0n9j4OUwUiUk1dzVBD5QiA2,"<strong>Brand Name:</strong> Aspire
<strong>OHM:</strong> 0.3 ohm
<strong>Watts:</strong> 60-75 Watts
<strong>Best at:</strong> 60-75 Watts
<strong>Suitable For:</strong> Athos Tank

Pack of 1 Coil",{https://delhi-vape.com/img/no-image.jpg},AMA-0017,SMOK,40,40,2024-01-12 14:23:21.283+05:30,2024-01-12 14:23:21.283+05:30
1050,Efest 18650 3000mAh 35A Flat Top Battery,Chameleon IT service,Vape Amazon,GNH2l0n9j4OUwUiUk1dzVBD5QiA2,"Efest 18650
<ul>
 	<li>Brand: Efest</li>
 	<li>Size: 18650</li>
 	<li>Chemistry: IMR</li>
 	<li>Nominal Capacity: 3000mAh</li>
 	<li>Nominal Voltage: 3.7V</li>
 	<li>Discharge: 10A Continuous, Rated 20A Max Pulse by Efest</li>
 	<li>Positive: Flat</li>
 	<li>Rechargeable: Yes</li>
 	<li>Dimensions: 18.25mm x 65.25mm</li>
 	<li>Weight: 47g</li>
</ul>",{https://delhi-vape.com/img/no-image.jpg},AMA-0018,SMOK,,,2024-01-12 14:23:21.283+05:30,2024-01-12 14:23:21.283+05:30
1051,Jungle Fever 120ml by Ruthless,Chameleon IT service,Vape Amazon,GNH2l0n9j4OUwUiUk1dzVBD5QiA2,"Jungle Fever 120ml by Ruthless is undoubtedly one of the best pineapple and mango E-Liquids on the market.

<strong>Brand Name:</strong> Ruthless
<strong>Flavor:</strong> Pineapple, mango, and citrus fruits
<strong>VG/PG:</strong> 90VG/10PG
<strong>Size:</strong> 60 ml",{https://delhi-vape.com/img/no-image.jpg},AMA-0019,SMOK,,,2024-01-12 14:23:21.283+05:30,2024-01-12 14:23:21.283+05:30
1052,Grape Drank by Ruthless,Chameleon IT service,Vape Amazon,GNH2l0n9j4OUwUiUk1dzVBD5QiA2,"Grape Drank E-Juice is for those who enjoy the juicy flavor of grape soda and candy infused into a tasty E-Liquid. New and old vape enthusiasts will fall in love with the sweet taste that engulfs the senses in every hit.

<strong>Brand Name:</strong> Ruthless
<strong>Flavor:</strong> Grape soda and Grape candy
<strong>VG/PG:</strong> 85VG/15PG
<strong>Nozzle:</strong> Dripper
<strong>Size:</strong> 60 ml",{https://delhi-vape.com/img/no-image.jpg},AMA-0020,SMOK,,,2024-01-12 14:23:21.283+05:30,2024-01-12 14:23:21.283+05:30
1134,Devil's Teeth by Nasty - 3 MG,Chameleon IT service,Vape Amazon,GNH2l0n9j4OUwUiUk1dzVBD5QiA2,Nicotine Level (MG): 3 MG,{https://delhi-vape.com/img/no-image.jpg},AMA-0102,SMOK,40,40,2024-01-12 14:23:21.283+05:30,2024-01-12 14:23:21.283+05:30
1053,Str8 Menthol by Ruthless,Chameleon IT service,Vape Amazon,GNH2l0n9j4OUwUiUk1dzVBD5QiA2,"Str8 Menthol by Ruthless is a cool ice, refresh mint leaves, and subtle notes of spearmint and peppermint are combined together making this exhilarating juice blend the go-to for menthol lovers everywhere!

<strong>Brand Name:</strong> Ruthless
<strong>Flavor:</strong> Minty Cool Menthol
<strong>Size:</strong> 60 ml Squeezer Bottle

More from Ruthless, <a href=https://vapingdubai.ae/product-category/regular-juice/?filter_brand=ruthless>Click Here</a>",{https://delhi-vape.com/img/no-image.jpg},AMA-0021,SMOK,,,2024-01-12 14:23:21.283+05:30,2024-01-12 14:23:21.283+05:30
1054,EZ Duz It on Ice by Ruthless,Chameleon IT service,Vape Amazon,GNH2l0n9j4OUwUiUk1dzVBD5QiA2,"Ez Duz It on Ice E-Juice on Ice is the perfect of vape juice for those who love vaping and enjoying the luxuries of life. Every hit delivers a great combination of strawberries, watermelon and a subtle kick of menthol to round out a unique e-liquid flavor.

<strong>Brand Name:</strong> Ruthless
<strong>Flavor:</strong> Strawberry and Watermelon with Menthol
<strong>VG/PG:</strong> 85VG/15PG
<strong>Nozzle:</strong> Dripper or Squeezer
<strong>Size:</strong> 60 ml",{https://delhi-vape.com/img/no-image.jpg},AMA-0022,SMOK,40,40,2024-01-12 14:23:21.283+05:30,2024-01-12 14:23:21.283+05:30
1055,EZ Duz It on Ice by Ruthless - 6 MG,Chameleon IT service,Vape Amazon,GNH2l0n9j4OUwUiUk1dzVBD5QiA2,Nicotine Level (MG): 6 MG,{https://delhi-vape.com/img/no-image.jpg},AMA-0023,SMOK,40,40,2024-01-12 14:23:21.283+05:30,2024-01-12 14:23:21.283+05:30
1056,EZ Duz It on Ice by Ruthless - 3 MG,Chameleon IT service,Vape Amazon,GNH2l0n9j4OUwUiUk1dzVBD5QiA2,Nicotine Level (MG): 3 MG,{https://delhi-vape.com/img/no-image.jpg},AMA-0024,SMOK,,,2024-01-12 14:23:21.283+05:30,2024-01-12 14:23:21.283+05:30
1057,Grape Drank on Ice by Ruthless,Chameleon IT service,Vape Amazon,GNH2l0n9j4OUwUiUk1dzVBD5QiA2,"Grape Drank on Ice E-Juice comprises of all the grape berry flavors Grape Drank enjoy but with a twist. Treat yourself to the ultimate vaping experience with this premium E-Liquid made by Ruthless Vapor.

<strong>Brand Name:</strong> Ruthless
<strong>Flavor:</strong> Grape soda, Grape candy and Menthol
<strong>VG/PG:</strong> 70VG/30PG
<strong>Nozzle:</strong> Dripper / Squeezer
<strong>Size:</strong> 60 ml",{https://delhi-vape.com/img/no-image.jpg},AMA-0025,SMOK,,,2024-01-12 14:23:21.283+05:30,2024-01-12 14:23:21.283+05:30
1065,Devil's Teeth by Nasty,Chameleon IT service,Vape Amazon,GNH2l0n9j4OUwUiUk1dzVBD5QiA2,"<strong>Brand Name: </strong>Nasty
<strong>Flavor:</strong> The Mix Of Honey Dew &amp; Sour Mint
<strong>VG/PG:</strong> 70VG/30PG
<strong>Nicotine Strength:</strong> 3MG/6MG
<strong>Nozzle:</strong> Dripper
<strong>Size:</strong> 60 ml",{https://delhi-vape.com/img/no-image.jpg},AMA-0033,SMOK,40,40,2024-01-12 14:23:21.283+05:30,2024-01-12 14:23:21.283+05:30
1058,EZ Duz It by Ruthless,Chameleon IT service,Vape Amazon,GNH2l0n9j4OUwUiUk1dzVBD5QiA2,"<strong>Brand Name:</strong> Ruthless
<strong>Flavor:</strong> Strawberry and Watermelon
<strong>VG/PG:</strong> 90VG/10PG
<strong>Nicotine Strength:</strong> 3MG/6MG
<strong>Nozzle:</strong> Dripper
<strong>Size:</strong> 60 ml",{https://delhi-vape.com/img/no-image.jpg},AMA-0026,SMOK,,,2024-01-12 14:23:21.283+05:30,2024-01-12 14:23:21.283+05:30
1059,Dulce De Tobacco by Ruthless,Chameleon IT service,Vape Amazon,GNH2l0n9j4OUwUiUk1dzVBD5QiA2,"Experience rich tobacco with creamy swirls of caramel by vaping the new Dulce De Tobacco e-juice by Ruthless. Enjoy sweet milk notes throughout with soft, luscious amounts of creamy caramel, complete with a smooth natural tobacco taste.

<strong>Brand Name:</strong> Ruthless
<strong>Flavor:</strong> Caramel, Sweet Milk, Tobacco
<strong>VG/PG:</strong> 70VG/30PG
<strong>Nozzle:</strong> Dripper
<strong>Size:</strong> 60 ml",{https://delhi-vape.com/img/no-image.jpg},AMA-0027,SMOK,,,2024-01-12 14:23:21.283+05:30,2024-01-12 14:23:21.283+05:30
1135,Fat Boy by Nasty - 3 MG,Chameleon IT service,Vape Amazon,GNH2l0n9j4OUwUiUk1dzVBD5QiA2,Nicotine Level (MG): 3 MG,{https://delhi-vape.com/img/no-image.jpg},AMA-0103,SMOK,40,40,2024-01-12 14:23:21.283+05:30,2024-01-12 14:23:21.283+05:30
1060,Swamp Thang by Ruthless,Chameleon IT service,Vape Amazon,GNH2l0n9j4OUwUiUk1dzVBD5QiA2,"Swamp Thang e-liquid has emerged. Enjoy a delicious burst of sour candied apples, paired with a smooth and mellow throat hit.

<strong>Brand Name:</strong> Ruthless
<strong>Flavor:</strong> Sour Apple Hard Candy
<strong>VG/PG:</strong> 85VG/15PG
<strong>Nozzle:</strong> Dripper
<strong>Size:</strong> 60 ml",{https://delhi-vape.com/img/no-image.jpg},AMA-0028,SMOK,,,2024-01-12 14:23:21.283+05:30,2024-01-12 14:23:21.283+05:30
1061,Green Apple Sour Ice by Bazooka,Chameleon IT service,Vape Amazon,GNH2l0n9j4OUwUiUk1dzVBD5QiA2,"<strong>Brand Name:</strong> Bazooka
<strong>Flavor:</strong> Sour Green Apple Licorice, Menthol
<strong>VG/PG:</strong> 70VG/30PG
<strong>Nicotine Strength:</strong> 3MG/6MG
<strong>Nozzle:</strong> Squeezer
<strong>Size:</strong> 60 ml",{https://delhi-vape.com/img/no-image.jpg},AMA-0029,SMOK,,,2024-01-12 14:23:21.283+05:30,2024-01-12 14:23:21.283+05:30
1062,ASAP Grape by Nasty,Chameleon IT service,Vape Amazon,GNH2l0n9j4OUwUiUk1dzVBD5QiA2,"<strong>Brand Name: </strong>Nasty
<strong>Flavor:</strong> Grape Punch a bit of Menthol
<strong>VG/PG:</strong> 70VG/30PG
<strong>Nicotine Strength:</strong> 3MG/6MG
<strong>Nozzle:</strong> Dripper
<strong>Size:</strong> 60 ml",{https://delhi-vape.com/img/no-image.jpg},AMA-0030,SMOK,,,2024-01-12 14:23:21.283+05:30,2024-01-12 14:23:21.283+05:30
1063,Bad Blood High Mint by Nasty,Chameleon IT service,Vape Amazon,GNH2l0n9j4OUwUiUk1dzVBD5QiA2,"Bad Blood High Mint by Nasty is brewed to perfection by retaining the sweet, earthy blackcurrant flavour with a pop of low mint.

<strong>Brand Name:</strong> <a href=https://nastyworldwide.com/>Nasty</a>
<strong>Flavor:</strong> The Mix Of Blackcurrant, Mint
<strong>VG/PG:</strong> 70VG/30PG
<strong>Nicotine Strength:</strong> 3MG/6MG
<strong>Nozzle:</strong> Dripper
<strong>Size:</strong> 60 ml

Check out all Nasty flavors, click <a href=https://vapingdubai.ae/product-category/regular-juice/?filter_brand=nasty>here</a>",{https://delhi-vape.com/img/no-image.jpg},AMA-0031,SMOK,40,40,2024-01-12 14:23:21.283+05:30,2024-01-12 14:23:21.283+05:30
1064,Fat Boy by Nasty,Chameleon IT service,Vape Amazon,GNH2l0n9j4OUwUiUk1dzVBD5QiA2,"Fat Boy by Nasty is a fruity Series will leave a lasting impression on you because of its name and the satisfyingly-refreshing, iced mango vapour flavour with a side of mint.

<strong>Brand Name:</strong> Nasty
<strong>Flavor:</strong> The Fruity Mix of Mango with Menthol
<strong>VG/PG:</strong> 70VG/30PG
<strong>Nicotine Strength:</strong> 3MG/6MG
<strong>Nozzle:</strong> Dripper
<strong>Size:</strong> 60 ml

Check out all Nasty flavors, click <a href=https://vapingdubai.ae/product-category/brands/nasty/>here</a>",{https://delhi-vape.com/img/no-image.jpg},AMA-0032,SMOK,,,2024-01-12 14:23:21.283+05:30,2024-01-12 14:23:21.283+05:30
1066,Wicked Haze by Nasty,Chameleon IT service,Vape Amazon,GNH2l0n9j4OUwUiUk1dzVBD5QiA2,"Wicked Haze by Nasty is a authentic blackcurrant taste on the inhale with a tinge of lemonade on the exhale makes this one rather hard to put down.

<strong>Brand Name:</strong> <a href=https://nastyworldwide.com/>Nasty</a>
<strong>Flavor:</strong> Blackcurrant with Lemonade Soda
<strong>VG/PG:</strong> 70VG/30PG
<strong>Nicotine Strength:</strong> 3MG/6MG
<strong>Nozzle:</strong> Dripper
<strong>Size:</strong> 60 ml

Check out all Nasty flavors, click <a href=https://vapingdubai.ae/product-category/regular-juice/?filter_brand=nasty>here</a>",{https://delhi-vape.com/img/no-image.jpg},AMA-0034,SMOK,,,2024-01-12 14:23:21.283+05:30,2024-01-12 14:23:21.283+05:30
1067,Slow Blow by Nasty,Chameleon IT service,Vape Amazon,GNH2l0n9j4OUwUiUk1dzVBD5QiA2,"Slow Blow by Nasty is a must-try pineapple and lime soda concoction.

<strong>Brand Name:</strong> <a href=https://nastyworldwide.com/>Nasty</a>
<strong>Flavor:</strong> Pineapple Lemonade
<strong>VG/PG:</strong> 70VG/30PG
<strong>Nicotine Strength:</strong> 3MG/6MG
<strong>Nozzle:</strong> Dripper
<strong>Size:</strong> 60 ml

Check out all Nasty flavors, click <a href=https://vapingdubai.ae/product-category/regular-juice/?filter_brand=nasty>here</a>",{https://delhi-vape.com/img/no-image.jpg},AMA-0035,SMOK,,,2024-01-12 14:23:21.283+05:30,2024-01-12 14:23:21.283+05:30
1126,Green Wacky Taffy by VGOD,Chameleon IT service,Vape Amazon,GNH2l0n9j4OUwUiUk1dzVBD5QiA2,"<strong>Brand Name:</strong> VGOD
<strong>Flavor:</strong> Green Taffy
<strong>VG/PG:</strong> 70VG/30PG
<strong>Nicotine Strength: </strong>3MG/6MG
<strong>Nozzle:</strong> Squeezer
<strong>Size:</strong> 60 ml",{https://delhi-vape.com/img/no-image.jpg},AMA-0094,SMOK,,,2024-01-12 14:23:21.283+05:30,2024-01-12 14:23:21.283+05:30
1068,Cush Man by Nasty,Chameleon IT service,Vape Amazon,GNH2l0n9j4OUwUiUk1dzVBD5QiA2,"Cush Man by Nasty is the original Cushman Mango flavour that’s nothing short of legendary.

<strong>Brand Name:</strong> <a href=https://nastyworldwide.com/>Nasty</a>
<strong>Flavor:</strong> Yummy Mango
<strong>VG/PG:</strong> 70VG/30PG
<strong>Nicotine Strength:</strong> 3MG/6MG
<strong>Nozzle:</strong> Dripper
<strong>Size:</strong> 60 ml

Check out all Nasty flavors, click <a href=https://vapingdubai.ae/product-category/regular-juice/?filter_brand=nasty>here</a>",{https://delhi-vape.com/img/no-image.jpg},AMA-0036,SMOK,,,2024-01-12 14:23:21.283+05:30,2024-01-12 14:23:21.283+05:30
1069,Trap Queen by Nasty,Chameleon IT service,Vape Amazon,GNH2l0n9j4OUwUiUk1dzVBD5QiA2,"Trap Queen by Nasty is a taste of delightfully ripe strawberries, freshly harvested from the farm.

<strong>Brand Name:</strong> <a href=https://nastyworldwide.com/>Nasty</a>
<strong>Flavor:</strong> Ripe Strawberry
<strong>VG/PG:</strong> 70VG/30PG
<strong>Nicotine Strength:</strong> 3MG/6MG
<strong>Nozzle:</strong> Dripper
<strong>Size:</strong> 60 ml

Check out all Nasty flavors, click <a href=https://vapingdubai.ae/product-category/brands/nasty/>here</a>",{https://delhi-vape.com/img/no-image.jpg},AMA-0037,SMOK,40,40,2024-01-12 14:23:21.283+05:30,2024-01-12 14:23:21.283+05:30
1070,Green Ape by Nasty,Chameleon IT service,Vape Amazon,GNH2l0n9j4OUwUiUk1dzVBD5QiA2,"<strong>Brand Name:</strong> Nasty
<strong>Flavor:</strong> Fruity Sour Green Apple
<strong>VG/PG:</strong> 70VG/30PG
<strong>Nicotine Strength:</strong> 3MG/6MG
<strong>Nozzle:</strong> Dripper
<strong>Size:</strong> 60 ml",{https://delhi-vape.com/img/no-image.jpg},AMA-0038,SMOK,40,40,2024-01-12 14:23:21.283+05:30,2024-01-12 14:23:21.283+05:30
1071,Tobacco Gold Blend by Nasty,Chameleon IT service,Vape Amazon,GNH2l0n9j4OUwUiUk1dzVBD5QiA2,"<strong>Brand Name:</strong> Nasty
<strong>Flavor:</strong> Almond Sweet Tobacco
<strong>VG/PG:</strong> 70VG/30PG
<strong>Nicotine Strength:</strong> 3MG/6MG
<strong>Nozzle:</strong> Dripper
<strong>Size:</strong> 60 ml",{https://delhi-vape.com/img/no-image.jpg},AMA-0039,SMOK,40,40,2024-01-12 14:23:21.283+05:30,2024-01-12 14:23:21.283+05:30
1072,Tobacco Silver Blend by Nasty,Chameleon IT service,Vape Amazon,GNH2l0n9j4OUwUiUk1dzVBD5QiA2,"Tobacco Silver Blend by Nasty Series by Nasty Juice is the new range of products that elevates Nasty Juice into the next level of the vaping industry.

<strong>Brand Name:</strong> Nasty
<strong>Flavor:</strong> Vanilla Custard Sweety Tobacco
<strong>VG/PG:</strong> 70VG/30PG
<strong>Nicotine Strength:</strong> 3MG/6MG
<strong>Nozzle:</strong> Dripper
<strong>Size:</strong> 60 ml",{https://delhi-vape.com/img/no-image.jpg},AMA-0040,SMOK,,,2024-01-12 14:23:21.283+05:30,2024-01-12 14:23:21.283+05:30
